  89062  137.256165   -9.660040   9172.28  10914.90        2.374       -0.405        0.348        0.579        0.293        0.101        0.538        2.116        0.699   6.359   99   14        0.655        0.260        0.436        0.474   5.542    2 0.69  9801.000      0
  89063  137.369720   -9.660128   6993.96  10912.06        0.361       -0.246        0.308        0.076        0.282       -0.410        0.528        1.580        0.590   6.359   99    9        0.043        0.091        0.210        0.169   3.084    0 0.49  9801.000      0
  89064  136.714218   -9.659902  19569.02  10913.04        0.868      -99.000      -99.000        0.506        0.312        1.183        0.581        0.797        1.035   6.359   99    6        0.497        0.102        0.771        0.186   3.084    2 0.57  9801.000      1
  89065  136.949127   -9.659679  15062.50  10921.37        3.607        0.382        0.341        0.791        0.278        1.660        0.535        5.466        0.536   6.359   99    6        0.974        0.091        2.172        0.173   3.084    0 0.25  9801.000      0
  89066  136.907745   -9.660104  15856.41  10912.63        1.316        0.107        0.292        0.129        0.278        0.249        0.528        1.065        0.953   6.359   99    4        0.388        0.091        0.526        0.169   3.084    0 0.53  9801.000      0
  89067  136.792160   -9.657889  18073.68  10953.86        4.296      -99.000      -99.000        2.520        0.282        3.355        0.535        3.604        0.811   6.359   99    6        1.433        0.130        2.099        0.240   3.545    0 0.01  9801.000      0
  89068  136.938492   -9.659534  15266.39  10924.09        4.384        0.501        0.367        1.651        0.286        3.033        0.538        7.569        0.957   6.359   99    4        1.211        0.091        2.312        0.173   3.120    0 0.01  9801.000      0
  89069  137.277832   -9.653295   8756.56  11046.01       53.016        9.230        0.315       18.646        0.293       26.650        0.542       32.936        0.512   6.359   99   12       16.311        0.149       23.504        0.274   4.156    0 0.03  9801.000      0
  89070  136.999084   -9.659620  14104.15  10922.96        3.958        2.431        0.338        2.192        0.286        2.772        0.538        0.655        1.009   6.359   99    8        1.822        0.093        2.182        0.171   3.084    0 0.01  9801.000      0
  89071  137.251709   -9.659431   9257.86  10926.79        8.256        0.517        0.354        0.901        0.293        3.386        0.538       11.699        0.565   6.359   99   14        1.414        0.095        3.941        0.173   3.084    0 0.11  9801.000      0
  89072  137.436020   -9.659972   5722.10  10914.08        2.473        0.195        0.308        0.500        0.290        1.180        0.542        1.939        0.754   6.359   99    9        0.549        0.095        1.571        0.173   3.084    0 0.88  9801.000      0
  89073  136.650345   -9.659769  20794.32  10914.00        1.946      -99.000      -99.000        0.779        0.346        0.846        0.609       -6.041        0.964   6.359   99    2        0.831        0.112        1.112        0.194   3.084    0 0.82  9801.000      0
  89074  136.679901   -9.659611  20227.35  10917.85        2.105      -99.000      -99.000        0.953        0.320        1.004        0.577       -1.998        0.539   6.359   99    4        0.858        0.106        1.088        0.186   3.084    0 0.33  9801.000      0
  89075  137.012360   -9.660088  13849.50  10913.97        0.463        0.843        0.338        1.169        0.286        1.885        0.535       -1.663        0.483   6.359   99    8        0.385        0.093        0.689        0.171   3.084    0 0.42  9801.000      0
  89076  137.425262   -9.659404   5928.27  10925.33        4.768        3.970        0.315        3.542        0.282        3.611        0.520        1.783        0.780   6.359   99    9        3.330        0.093        3.282        0.167   3.084    0 0.55  9801.000      0
