# id F89 E89 F90 E90 F159 E159 F156 E156
    1       538.744246174  5.23391012065        995.816136008   8.89822634207        760.210199577     19.6377940806           38.9284845832    0.889384670243   
    2       1435.53563026  6.11407146883        2870.94707826   11.0164253152        1791.74973872     34.3692159916           173.026292813      2.6237004029   
    3       157.438770454  1.11543550029        277.397667419   1.75131787957        154.455426392     2.79803197515            9.5874885997    0.733749279057   
    4        100.83629345  1.69491732182        206.726933698   2.98566712792        185.712835226     4.47543759083           12.4603988006    0.618507422289   
    5       66.5447284182 0.805380194065        152.365268952   1.43780735084        93.1475521556     2.42706832719           7.09548754498    0.504377628962   
    6        214.56950886  2.11352624234        1003.84136125   7.49053323432        1398.86283191     31.1420688229           31.2481996284    0.520501124322   
    7       61.3700349809 0.669901861906        114.525577756   1.24924903871        58.3219278408     2.43681226022          -1.59156402073    0.602661503232   
    8       140.561619447  1.07282533874        174.437294275   1.36404383922        28.0119917876     1.61914714461           20.0602442723    0.573886456952   
    9       97.0771918734 0.824379283416        107.964379711   1.58131878531       -48.9173670478     2.48406745976           8.47153127248    0.868397428867   
   10        72.833476245 0.784911980431         276.56099691   1.67172592163        216.212885341     4.85661952788           26.0313607619    0.413519305363   
   11       29.0070046106 0.605549218236        66.3596999046   1.16639776903       -28.8318136032     3.02123536081          -3.22783666608    0.431161498428   
   12       280.920427332 0.998566970943        702.146938744   1.73121337049        417.508937333     6.96313082545           23.6448793187    0.758225364523   
   13       110.165282354  0.93738616765        308.256681796   1.93731953577        176.484575323     4.58671683104           4.95578098097    0.535501878095   
   14       174.097071274  1.26003825858        192.514559575   1.63106624857        104.854876606     1.83743445509           17.5595061171    0.856359583208   
   15       28.5206839141  1.13882056525        57.0997740632   2.34376391247        140.175937732     5.50659894616           7.38542171141    0.506594982166   
   16        104.46455701 0.915281374594        111.967407607   1.42615665774        19.8177845832     2.66151687954          -1.51178535833    0.661662738512   
   17       47.6260968684 0.756526453401        166.268353493   1.55511538872        71.5593965375     3.48730642614           1.16194184714    0.612331305132   
   18       43.7285376397  1.13476986309        94.3761308414   2.22895383791        96.9465090796     5.33566422839           9.25095772796     0.63755031327   
   19       33.2603294816  1.29008476949        72.0658699183   2.59826373296        170.991170437     7.15201958905           1.07010488625    0.509844950016   
   20       31.1339738044  1.44799082779        57.4945884666   2.71252119602        147.853291008     7.34535051611          -3.71974741908    0.601947459101   
   21        42.708141656  1.68041953032        64.7717847141    2.9717483677        166.082500403      7.1189894946          -3.21481629291     0.49311742614   
   22       27.2185477554  1.12815222671        87.9579074303   1.98094472412        140.667995904      6.1263683355            15.712503666     0.69092018885   
