|  id|   xcenter|   ycenter| aperture_sum_0|aperture_sum_err_0| aperture_sum_1|aperture_sum_err_1|residual_aperture_sum|
|long|    double|    double|         double|            double|         double|            double|               double|
|    |       pix|       pix|               |                  |               |                  |                     |
|null|      null|      null|           null|              null|           null|              null|                 null|
    1 165.817001 290.996002  -2.28571617555     0.354158758027   8.29893521021     0.696316403229        -2.60741526328 
    2 382.912994  58.875999   20.9093651001     0.512547309557   39.2807047037      0.77329695531         20.5876660124 
    3 913.508972  28.245001   7.49889490759     0.430031677958   13.6075753304     0.638657252491         7.17719581986 
    4 932.661987     50.757   46.6788350978     0.885365195332   71.7021743607      1.05666059557         46.3571360101 
    5 501.412994  57.442001   2144.89959497      39.6601300745   784.869163598      9.67656453984         2144.57789588 
    6 319.796997      13.63   27.9481039577      0.57313842374   38.0830569796     0.718061250551         27.6264048699 
    7    301.431      6.767   62.3059073052      1.20544254409   47.1793156273     0.829780143476         61.9842082174 
    8 987.448975  23.905001   65.7780747839       1.2161243953   174.471999661      2.35846985363         65.4563756962 
    9 422.341003  17.518999   47.0757439689      0.96190269019   32.8857839835     0.737608701389         46.7540448812 
   10 511.863007     14.934 -0.109202671517     0.315864070025   -3.6192508984     0.554007242028       -0.430901759245 
   11 400.260986  38.692001   86.7154563304        1.709781871   44.5306207435     0.732379253301         86.3937572427 
   12 388.869995     12.205   1.13767446274     0.440590756161   7.17813128511     0.513347042425        0.815975375009 
   13      7.894      9.874    54.423077845      1.07840127804   50.6736980864     0.996693202345         54.1013787573 
   14 908.734985      4.503   26.2218856464     0.559854305351   15.6647036064     0.537467996259         25.9001865587 
   15 727.018005      5.768   29.8070220274     0.610815270822   24.4429684488     0.689060868126         29.4853229397 
   16 433.649994      3.683   81.7342777082      1.56724581592   27.4069201301     0.615603462264         81.4125786204 
   17 196.813995 952.414978   24.5117105905     0.614936881102   18.2076580607     0.687290601363         24.1900115027 
   18  611.72998 997.578003   28.2325588265      0.67719737666    10.716237878     0.482556801049         27.9108597388 
   19 311.919006 947.151978   21.4876369193     0.611138658936  -7.12568212617      0.59841210498         21.1659378315 
   20 831.166016 943.843018   70.9548641009      1.38455034878   29.4986126539     0.686333653646         70.6331650131 
