|  id|   xcenter|   ycenter|aperture_sum_0|aperture_sum_err_0| aperture_sum_1|aperture_sum_err_1|residual_aperture_sum|
|long|    double|    double|        double|            double|         double|            double|               double|
|    |       pix|       pix|              |                  |               |                  |                     |
|null|      null|      null|          null|              null|           null|              null|                 null|
    1 165.817001 290.996002 -9.74118072441      1.17301097031   37.6805630923       2.4121025684         -23.521500941 
    2 382.912994  58.875999  198.485034911      3.66634067858   522.289742359      5.92567662125         7.47621484799 
    3 913.508972  28.245001  184.729758764      3.56430384756   214.214919204      3.01080392756         106.388302598 
    4 932.661987     50.757  528.403575377      9.39550099451   915.900042424       10.239530178         193.445845576 
    5 501.412994  57.442001  4163.24184678      76.3024315468   2617.68364125      32.7222694268         3205.91754369 
    6 319.796997      13.63  195.328996346       3.4978773838   366.627760306      4.64025125236         61.2479868623 
    7    301.431      6.767  231.081089734      4.19110494354    334.90459869       4.0630937641         108.601693641 
    8 987.448975  23.905001    615.4725481      10.9557124662   1176.53349256      13.6076247372         185.197442251 
    9 422.341003  17.518999  37.1154681042      1.21390666563   84.9907186898      1.96511271305         6.03314812621 
   10 511.863007     14.934  230.126345002      4.41528160081   89.9260860026      3.00679568548         197.239090693 
   11 400.260986  38.692001  190.362558787      3.50737588004   350.424092609      4.38293473048         62.2074620611 
   12 388.869995     12.205  80.8734568196      1.69881349715   76.7668885959      2.20341252901         52.7987089902 
   13      7.894      9.874 -4.48974928045      1.09442709941  -42.1312792583      2.20970118625         10.9182614197 
   14 908.734985      4.503  124.609441083       2.5669827072    35.845932124       2.3734440943         111.500071621 
   15 727.018005      5.768  128.557747577       2.3569474956   22.5108189499      1.76207352744         120.325219504 
   16 433.649994      3.683  226.635190497      4.29602940954   92.9055921786      2.09130672767         192.658288214 
   17 196.813995 952.414978   -34.53304156      1.03722150267  -127.803037533       2.1037165192         12.2063550236 
   18  611.72998 997.578003  31.8827213726      0.91772919826  -77.7894816614       1.9557069359         60.3314460945 
   19 311.919006 947.151978  885.884245718      16.4272723982   533.519475317      7.86683842663         690.768551888 
   20 831.166016 943.843018  1553.99182537      28.6541022382   1004.86502691      12.9966932528         1186.49832981 
