|  id|   xcenter|   ycenter|aperture_sum_0| aperture_sum_1|residual_aperture_sum|
|long|    double|    double|        double|         double|               double|
|    |       pix|       pix|              |               |                     |
|null|      null|      null|          null|           null|                 null|
    1 165.817001 290.996002  38.4114372748   21.4579215814         32.3426288032 
    2 382.912994  58.875999  104.637671901   185.921984065         56.9858510875 
    3 913.508972  28.245001   29.892384748   30.1724788087         21.6201919305 
    4 932.661987     50.757  285.708227637   371.731411358         191.076442985 
    5 501.412994  57.442001  6561.88083519   805.300914352         6357.62555151 
    6 319.796997      13.63  124.253606567   184.637154227         76.9266414959 
    7    301.431      6.767  176.267964439   135.543986706           141.3536916 
    8 987.448975  23.905001  353.231351131   546.737564936         214.351097031 
    9 422.341003  17.518999  104.939513423   25.3752400407         97.8802520869 
   10 511.863007     14.934  35.7256593216  -15.4453923982         38.9874665327 
   11 400.260986  38.692001  193.475348669   100.943206153         167.309520099 
   12 388.869995     12.205   33.837959826    56.111379144         19.0073882571 
   13      7.894      9.874  85.7670473264    48.278565466         72.9169204998 
   14 908.734985      4.503  114.361313368   72.3724528863         95.4192999439 
   15 727.018005      5.768  113.603976935   58.5697506401         98.1518319306 
   16 433.649994      3.683  160.237215394   15.7257681944         155.617721754 
   17 196.813995 952.414978   36.332894394   2.50519302016         35.0560844524 
   18  611.72998 997.578003  69.6430141619  -3.53353505082         69.8930332437 
   19 311.919006 947.151978  238.582974966   24.5289171044         231.737697503 
   20 831.166016 943.843018  662.251229831   107.254340898         634.489697068 
   21 385.333008  940.77301  115.768445485   62.9240479289         99.2153621044 
   22 327.104004 943.197021  67.7211307598   3.42818233408         66.2109526559 
   23  71.880997 936.484985  35.3899101473   62.0501667547         19.0577784517 
   24 172.621002 940.585022  37.6519525755   8.82001951768         34.7785050208 
   25 251.003998 911.796021  146.059053097    9.4761974124         143.019697848 
   26 260.304993 903.705994  124.136834138  -53.7169212913         137.075195815 
   27 262.778015 934.447021  213.269970085   20.0780222545         207.550054677 
   28 276.240997 922.575012  118.845383164   28.2167268857         111.067681697 
   29 286.713989 904.396973  145.351017224  -77.8158789596         164.382547457 
   30 279.089996 889.682983  167.643183967   194.383723139         117.851901225 
   31    207.806 935.551025  18.3091376141  -16.9339255611         21.9473048151 
   32     56.473 928.791992  111.653321058    87.485023481         88.8902527477 
   33  67.504997 918.517029  30.8184163693   57.8658836592         15.5442367452 
   34 719.161011 932.572998  62.5360692831   24.0200444239         55.8194549373 
   35  26.243999  919.76001  64.6027922778   45.5466328639         52.4434059412 
   36 508.446991 914.599976  88.2101245073   11.4885073276         84.6619778125 
   37 926.901978 910.025024  160.965811256    95.866023767         136.083694972 
   38  933.65802 905.864014  101.658149069   91.5046872005         77.8787509688 
   39 200.220993 907.244995  125.679871104   36.0740230727         115.915534749 
   40 715.530029 901.721985  252.822582924   109.064564105         224.603354219 
   41  94.345001 909.239014  68.0391703706   7.38264363461         65.5291482244 
   42 782.799011 897.671021  63.4932795597   27.7435452649         55.8352170999 
   43 424.608002 894.346008   20.329694715  -28.9521201636         27.0065363043 
   44  86.815002 893.476013  28.7216645764   17.0629949388         23.7640671868 
   45    352.819  885.13501  398.853782975   275.280729643         328.608541058 
   46 213.264008 887.502014  251.130657122   65.7703476831         233.857916717 
   47 236.225006 889.455994  43.7003318969  -33.0749912778         51.4195981828 
   48 549.117981 875.538025  128.768992958   48.3196214483         115.908485557 
   49 697.833008 869.340027  63.8202809712    71.407200991           45.12232136 
   50 623.103027  874.26001  68.0969590099   15.9175916166         63.4289648306 
   51 986.955017  872.64502   94.572270882   1.22928150246         93.6180617785 
   52 409.130005 872.182007  49.6749639681   1.70622902973         48.6001636874 
   53 863.997986 864.758972  101.941425217   36.6684453748         92.0267954209 
   54 360.136993 863.380005  22.9202412432  -35.6910759723         31.3009570914 
   55  22.493999  858.83197  66.7759246749    33.237772343          57.728704554 
   56 952.379028 853.974976   119.62601192   77.8451449175          99.300285746 
   57 739.630981 849.505981  161.809422007   67.0293145788         144.218365034 
   58 912.883972 851.849976  63.5767052438   28.2722390016         55.7849681208 
   59 168.548996 844.349976  2515.75346977    333.31564404         2430.83470876 
   60 313.308014 848.015015  34.1122149616   25.6743161019         26.9773353816 
   61  319.30899 848.442993  52.6715589212  -13.8233350675         55.5232459579 
   62 850.997986 839.786987  62.4760305733   48.2513359903         49.6327884339 
   63 831.627991 832.190002  78.6608941497   45.8877345447         66.4152638326 
   64 129.606003 821.567017   21.139940388  -20.0030966509         25.5541152917 
   65 996.536011 810.627991   222.93166149   46.7087246135          210.47845245 
   66 785.288025 802.635986  333.256361561   313.965926839         253.229973489 
   67 398.481995 809.271973  4.40118805561  -45.6314624808         15.2952263197 
   68 680.726013 765.627014   282.06744205   507.820380099         153.026989746 
   69 890.330017 784.578003  90.9270388096   54.8566111532         76.4137221599 
   70 423.071991 774.906982  109.054695824    34.423662761          99.707635755 
   71 773.750977 769.986023  60.0359394225   76.0752637402         40.1577091311 
   72     13.676 765.432983  215.485814974   281.265944385         143.727274317 
   73      6.965 759.216003  2221.02107165   431.202512148         2111.35264325 
   74 351.941986  757.30603  4108.21794746   477.744081918         3986.78197154 
   75 512.768982     760.75  31.7132896905  -29.6739689495         38.5726431704 
   76 323.539001 786.325012  108.500984896  -38.8613340222         117.683267224 
   77 964.760986  756.77301  79.5329859573   12.4853219435         75.7328051473 
   78 589.461975  747.97699  85.9744947195   41.9134801429         74.7337129228 
   79 993.791992 751.007996  32.9103557277  -1.53593851078         32.6553034868 
   80 859.164978 744.482971   330.31544762    69.681154974         312.053900632 
   81 525.679016 733.427979  209.034223827   16.6875416899         204.171555851 
