|  id|   xcenter|   ycenter|aperture_sum_0| aperture_sum_1|residual_aperture_sum|
|long|    double|    double|        double|         double|               double|
|    |       pix|       pix|              |               |                     |
|null|      null|      null|          null|           null|                 null|
    1 165.817001 290.996002  38.4114372748   21.4579215814         27.5606166825 
    2 382.912994  58.875999  104.637671901   185.921984065         10.6208266253 
    3 913.508972  28.245001   29.892384748   30.1724788087          14.634795464 
    4 932.661987     50.757  285.708227637   371.731411358          97.731454684 
    5 501.412994  57.442001  6561.88083519   805.300914352         6154.65706418 
    6 319.796997      13.63  124.253606567   184.637154227         30.8864727754 
    7    301.431      6.767  176.267964439   135.543986706         107.726215112 
    8 987.448975  23.905001  353.231351131   546.737564936         76.7576392816 
    9 422.341003  17.518999  104.939513423   25.3752400407         92.1077871015 
   10 511.863007     14.934  35.7256593216  -15.4453923982         43.5360700948 
   11 400.260986  38.692001  193.475348669   100.943206153         142.430487879 
   12 388.869995     12.205   33.837959826    56.111379144         5.46361303907 
   13      7.894      9.874  85.7670473264    48.278565466         61.3535900241 
   14 908.734985      4.503  114.361313368   72.3724528863         77.7640828711 
   15 727.018005      5.768  113.603976935   58.5697506401         83.9864832775 
   16 433.649994      3.683  160.237215394   15.7257681944         152.285024465 
   17 196.813995 952.414978   36.332894394   2.50519302016         35.0660708618 
   18  611.72998 997.578003  69.6430141619  -3.53353505082         71.4298486765 
   19 311.919006 947.151978  238.582974966   24.5289171044         226.179216391 
   20 831.166016 943.843018  662.251229831   107.254340898         608.014960656 
   21 385.333008  940.77301  115.768445485   62.9240479289         83.9490750751 
   22 327.104004 943.197021  67.7211307598   3.42818233408          65.987570903 
   23  71.880997 936.484985  35.3899101473   62.0501667547          4.0124431069 
   24 172.621002 940.585022  37.6519525755   8.82001951768          33.191853817 
   25 251.003998 911.796021  146.059053097    9.4761974124         141.267138949 
   26 260.304993 903.705994  124.136834138  -53.7169212913         151.300353843 
   27 262.778015 934.447021  213.269970085   20.0780222545         203.116935621 
   28 276.240997 922.575012  118.845383164   28.2167268857         104.576776581 
   29 286.713989 904.396973  145.351017224  -77.8158789596         184.700874041 
   30 279.089996 889.682983  167.643183967   194.383723139         69.3474148339 
   31    207.806 935.551025  18.3091376141  -16.9339255611          26.872268367 
   32     56.473 928.791992  111.653321058    87.485023481         67.4139807887 
   33  67.504997 918.517029  30.8184163693   57.8658836592         1.55685347201 
   34 719.161011 932.572998  62.5360692831   24.0200444239         50.3896369423 
   35  26.243999  919.76001  64.6027922778   45.5466328639         41.5708159555 
   36 508.446991 914.599976  88.2101245073   11.4885073276         82.4006274685 
   37 926.901978 910.025024  160.965811256    95.866023767          112.48837504 
   38  933.65802 905.864014  101.658149069   91.5046872005         55.3861492199 
   39 200.220993 907.244995  125.679871104   36.0740230727         107.437994746 
   40 715.530029 901.721985  252.822582924   109.064564105         197.670921865 
   41  94.345001 909.239014  68.0391703706   7.38264363461          64.305922429 
   42 782.799011 897.671021  63.4932795597   27.7435452649         49.4639509911 
   43 424.608002 894.346008   20.329694715  -28.9521201636         34.9701742446 
   44  86.815002 893.476013  28.7216645764   17.0629949388         20.0932661481 
   45    352.819  885.13501  398.853782975   275.280729643         259.650095491 
   46 213.264008 887.502014  251.130657122   65.7703476831         217.871972664 
   47 236.225006 889.455994  43.7003318969  -33.0749912778         60.4256608196 
   48 549.117981 875.538025  128.768992958   48.3196214483         104.334774507 
   49 697.833008 869.340027  63.8202809712    71.407200991         27.7111580997 
   50 623.103027  874.26001  68.0969590099   15.9175916166         60.0477670022 
   51 986.955017  872.64502   94.572270882   1.22928150246          93.950649026 
   52 409.130005 872.182007  49.6749639681   1.70622902973         48.8121597575 
   53 863.997986 864.758972  101.941425217   36.6684453748         83.3989619757 
   54 360.136993 863.380005  22.9202412432  -35.6910759723         40.9684692905 
   55  22.493999  858.83197  66.7759246749    33.237772343         49.9682807839 
   56 952.379028 853.974976   119.62601192   77.8451449175         80.2613559226 
   57 739.630981 849.505981  161.809422007   67.0293145788         127.914104412 
   58 912.883972 851.849976  63.5767052438   28.2722390016         49.2800273487 
   59 168.548996 844.349976  2515.75346977    333.31564404         2347.20274409 
   60 313.308014 848.015015  34.1122149616   25.6743161019         21.1292521525 
   61  319.30899 848.442993  52.6715589212  -13.8233350675         59.6617293455 
   62 850.997986 839.786987  62.4760305733   48.2513359903         38.0763426454 
   63 831.627991 832.190002  78.6608941497   45.8877345447         55.4564298664 
   64 129.606003 821.567017   21.139940388  -20.0030966509         31.2550865463 
   65 996.536011 810.627991   222.93166149   46.7087246135          199.31203976 
   66 785.288025 802.635986  333.256361561   313.965926839         174.490381767 
   67 398.481995 809.271973  4.40118805561  -45.6314624808         27.4760609348 
   68 680.726013 765.627014   282.06744205   507.820380099         25.2733337923 
   69 890.330017 784.578003  90.9270388096   54.8566111532         63.1872018611 
   70 423.071991 774.906982  109.054695824    34.423662761         91.6473720373 
   71 773.750977 769.986023  60.0359394225   76.0752637402         21.5662751905 
   72     13.676 765.432983  215.485814974   281.265944385         73.2555300106 
   73      6.965 759.216003  2221.02107165   431.202512148         2002.97101119 
   74 351.941986  757.30603  4108.21794746   477.744081918         3866.63279196 
   75 512.768982     760.75  31.7132896905  -29.6739689495         46.7187930013 
   76 323.539001 786.325012  108.500984896  -38.8613340222         128.152345903 
   77 964.760986  756.77301  79.5329859573   12.4853219435         73.2194206881 
   78 589.461975  747.97699  85.9744947195   41.9134801429         64.7797274769 
   79 993.791992 751.007996  32.9103557277  -1.53593851078         33.6870475968 
   80 859.164978 744.482971   330.31544762    69.681154974         295.079149994 
   81 525.679016 733.427979  209.034223827   16.6875416899         200.595684226 
