|  id|   xcenter|   ycenter|aperture_sum_0| aperture_sum_1|residual_aperture_sum|
|long|    double|    double|        double|         double|               double|
|    |       pix|       pix|              |               |                     |
|null|      null|      null|          null|           null|                 null|
    1 165.817001 290.996002 -9.74118072441   22.1312691298        -12.9581716017 
    2 382.912994  58.875999  198.485034911   389.470088238         195.268044033 
    3 913.508972  28.245001  184.729758764   162.827713582         181.512767887 
    4 932.661987     50.757  528.403575377   695.099917352           525.1865845 
    5 501.412994  57.442001  4163.24184678   2098.88481372          4160.0248559 
    6 319.796997      13.63  195.328996346    265.25418792         192.112005469 
    7    301.431      6.767  231.081089734   256.723135085         227.864098856 
    8 987.448975  23.905001    615.4725481    867.90553258         612.255557223 
    9 422.341003  17.518999  37.1154681042    67.768781986         33.8984772269 
   10 511.863007     14.934  230.126345002   84.4140038592         226.909354125 
   11 400.260986  38.692001  190.362558787   269.003865253         187.145567909 
   12 388.869995     12.205  80.8734568196   62.2059318034         77.6564659423 
   13      7.894      9.874 -4.48974928045  -22.2960659273        -7.70674015773 
   14 908.734985      4.503  124.609441083   29.2356625692         121.392450206 
   15 727.018005      5.768  128.557747577   22.9995373287           125.3407567 
   16 433.649994      3.683  226.635190497   73.1188486919          223.41819962 
   17 196.813995 952.414978   -34.53304156  -93.0914488841        -37.7500324373 
   18  611.72998 997.578003  31.8827213726  -56.8217993889         28.6657304953 
   19 311.919006 947.151978  885.884245718   441.813540801         882.667254841 
   20 831.166016 943.843018  1553.99182537   815.095955505         1550.77483449 
   21 385.333008  940.77301  90.3585793959  -9.08745730021         87.1415885186 
   22 327.104004 943.197021  13.3327853261  -76.7732849835         10.1157944488 
   23  71.880997 936.484985  76.9775694449   115.124924298         73.7605785677 
   24 172.621002 940.585022  42.9876058739  -32.5493567296         39.7706149966 
   25 251.003998 911.796021  122.990231258   53.8064999251         119.773240381 
   26 260.304993 903.705994  -6.8914081508   56.9152337799        -10.1083990281 
   27 262.778015 934.447021  202.706584255   36.4125978343         199.489593378 
   28 276.240997 922.575012  35.8913806008   36.7433698482         32.6743897235 
   29 286.713989 904.396973  79.4726074569  -61.7635125551         76.2556165796 
   30 279.089996 889.682983  256.310539748   302.693879582         253.093548871 
   31    207.806 935.551025 -9.80019461182  -105.213701925        -13.0171854891 
   32     56.473 928.791992  86.9697878291    30.473850357         83.7527969519 
   33  67.504997 918.517029    72.34571141   206.118857044         69.1287205327 
   34 719.161011 932.572998  20.4983277398   75.1522950094         17.2813368625 
   35  26.243999  919.76001  118.365356531   93.5476832671         115.148365654 
   36 508.446991 914.599976  84.6975960399  -11.6164062347         81.4806051626 
   37 926.901978 910.025024  287.586988202   313.050165011         284.369997325 
   38  933.65802 905.864014  355.291179196   293.067371839         352.074188318 
   39 200.220993 907.244995  60.3174937728    53.639451926         57.1005028955 
   40 715.530029 901.721985  330.766501481   287.105402621         327.549510604 
   41  94.345001 909.239014 -22.9424676062  -102.747272565        -26.1594584835 
   42 782.799011 897.671021  91.8363115182   74.4957096208         88.6193206409 
   43 424.608002 894.346008  54.0032872002  -50.3787675421         50.7862963229 
   44  86.815002 893.476013   69.355233417   20.9830858641         66.1382425398 
   45    352.819  885.13501  401.660413335   232.630829339         398.443422458 
   46 213.264008 887.502014  192.806177378   73.7347026348         189.589186501 
   47 236.225006 889.455994 -12.0833538054  -71.4333847522        -15.3003446827 
   48 549.117981 875.538025  213.399107301   135.698113863         210.182116423 
   49 697.833008 869.340027  115.283847538   166.897425086         112.066856661 
   50 623.103027  874.26001  38.4862055156   43.8459492962         35.2692146383 
   51 986.955017  872.64502  153.890849609   21.5862306084         150.673858732 
   52 409.130005 872.182007 -30.7477006163  -51.1666356938        -33.9646914936 
   53 863.997986 864.758972  144.318186146   100.581572282         141.101195268 
   54 360.136993 863.380005  14.9606813662  -115.000024869         11.7436904889 
   55  22.493999  858.83197 -19.4160156496  -43.7343181082        -22.6330065269 
   56 952.379028 853.974976  161.708126427   135.650704528         158.491135549 
   57 739.630981 849.505981  104.888214859   94.6914376755         101.671223982 
   58 912.883972 851.849976  52.6829403224   50.1062373609         49.4659494451 
   59 168.548996 844.349976  1596.45073895   894.756364812         1593.23374807 
   60 313.308014 848.015015 -6.30267320279  -33.5410001545        -9.51966408007 
   61  319.30899 848.442993 -50.5527393279  -94.4293398077        -53.7697302051 
   62 850.997986 839.786987  87.6909626951   75.7454639348         84.4739718179 
   63 831.627991 832.190002  109.410713971   102.761479407         106.193723093 
   64 129.606003 821.567017 -26.6596151791  -33.2609263491        -29.8766060564 
   65 996.536011 810.627991  202.961078176   69.1392155041         199.744087299 
   66 785.288025 802.635986  651.071867028   700.588924308         647.854876151 
   67 398.481995 809.271973 -6.82668696239  0.242757335779        -10.0436778397 
   68 680.726013 765.627014   459.78384295   722.440712264         456.566852073 
   69 890.330017 784.578003  103.747345235   153.709586298         100.530354358 
   70 423.071991 774.906982  159.314160652   241.250221334         156.097169775 
   71 773.750977 769.986023  95.8313373499   190.801429619         92.6143464727 
   72     13.676 765.432983  464.460268246   914.616441519         461.243277369 
   73      6.965 759.216003  2899.83028653   2603.09954622         2896.61329565 
   74 351.941986  757.30603  3577.80374498   1985.51443288          3574.5867541 
   75 512.768982     760.75  60.5960588186   33.5083101063         57.3790679413 
   76 323.539001 786.325012   -8.583351803   -74.288955578        -11.8003426803 
   77 964.760986  756.77301  68.5490342486   12.8350138517         65.3320433713 
   78 589.461975  747.97699  238.302060168   124.376648908         235.085069291 
   79 993.791992 751.007996 0.395307832015   21.6305547104        -2.82168304526 
   80 859.164978 744.482971  1151.28045928   686.994363657          1148.0634684 
   81 525.679016 733.427979  184.022488028    176.67011239         180.805497151 
