# id F89 E89 F90 E90 F159 E159 F156 E156
    1        1020.8237216  4.67125272428        2205.55266152  9.52717790115         2457.72233493      28.8753334176          169.311574878     2.50969769927    
    2       246.400109884  3.83422992917        639.411429225   8.3090898836          999.83503031      19.6974356616          51.3480255581     1.21020458973    
    3       121.647509504 0.764429881922        283.071827472  1.31016918438         346.719477344      4.90969461553          22.0952330046    0.734202564701    
    4       79.1139984238 0.764447709931        139.847925496  1.54257054072         194.269922879      3.84114478095            26.05891871    0.611515235508    
    5       75.0022046156 0.861053959946        116.689835663  1.31952821654         65.7336822224      2.35575504689          8.70815903518    0.663223545967    
    6       79.1794296275 0.716679227352        112.969720905  1.18502796035         111.633239647      2.01318156353          5.24536276441    0.612904180081    
    7       258.988991565  2.53915776548        647.493171817  6.15386633931         1306.93268158      16.2361336829          27.3694297121    0.687278679035    
    8       101.385415176  2.17887797872        206.488267297  4.22911490822          567.50936236       11.470680327          27.5728215614    0.677738634695    
    9       137.418954561 0.554683263575        152.418109937  1.07009965759         138.634776479      3.02471738379           32.193160988    0.661328716902    
   10       14.7012207368   0.6086368079        55.2312727891 0.954614289452         173.246808282       2.2474616319         -1.30685736463    0.548657054946    
   11       103.882329692  1.05411131592        159.005662074  1.78184661448         219.382608461      3.92106973659          29.8645627112    0.886910851046    
   12       21.1684537278 0.634819344681        46.6152023584  1.12469436593         53.6693202086      2.84814695074        -0.960632205795    0.536804199501    
   13        187.06394196 0.954726011394        576.285311692  2.08107572746           629.6938062      7.42118249098          20.0770500088    0.671928941911    
   14       51.2138745865 0.692364925933        60.9820401464  1.14233625695         4.43355966632      2.45739524428          14.9086027454    0.779922208227    
   15       54.3315730287 0.674246883847        91.9513523443  1.21954166548         59.3491205621       2.5853246664          4.56158365645    0.626390472191    
   16       68.2119071271  1.23909568398        68.7898474756  1.68909394081         16.5099742792      3.13012209265          19.1589097754    0.728777991297    
   17       38.2942142196  0.97877928155        73.3673093871  1.63438313304          50.518855792      3.27422552353         -18.3915594184    0.675146324278    
   18       87.2842311104 0.968478732719        99.0629759294  1.35431556538         150.563390675      2.37621960157          27.8317791819    0.733888180518    
   19       111.520210273  1.18528916381        118.532562726  1.38882783128         113.537933232      3.54166165821          42.4228418143     1.02236811417    
   20       427.603785213   4.6587907941        1088.17937144  10.8248268153         1656.29559155       27.638221946           72.753642853     1.89280964764    
   21       95.2690270085  1.37342084394        118.333866652  2.23892433136         210.890794121      3.70395715225          29.2560324229    0.910452226879    
   22       76.6872785955  1.70905935546        117.953559668  2.18469310984         114.350612328      5.07207166114          23.5904334823    0.968395564668    
   23       71.2229761494 0.667152276126         94.434150011  1.14774507664        -16.8744950212      2.37799921647           11.663028475    0.548485205484    
   24        33.570547491 0.640074731912        83.6217735207   1.1749663198         66.4000486522      2.41183789658          15.7720588915     0.51253501753    
   25       41.2794537221 0.659258687788        54.4218458294  1.08128430226        -4.44571424974      2.43580661848          0.78809503539    0.603548845647    
   26       27.0336475052 0.616566495355        164.044579609  1.44548632287         453.005759869       6.6555278421          3.58299227759    0.750718444536    
   27       25.3251931724 0.731838566476        49.7066029138  1.18855799201         29.6986680075      2.75498286518         -7.01404582601    0.791073540174    
   28       83.7994210537 0.788106194746        140.177112807  1.11803303042         88.5343479386       2.7716153524           31.059013055    0.572546057385    
   29       71.7268231126 0.720416474965        118.372070616  1.24709177906          145.79045536      3.10011420952          19.9923212573     0.88308465382    
   30       282.469570686  1.38583006573        530.540076225  2.14550965146          435.79097435      5.31816936891          32.7357097761     0.80217566733    
   31       72.1158069329 0.785320684901         255.37473587  1.30226126214         446.505520176      6.02052096873        -0.442336735348    0.707452905598    
   32       69.4317521331 0.873299996104        90.3300202239  1.17657366565         59.1270520264       2.1425067923          29.6129568153    0.628276466668    
   33       127.292659376 0.642075046229        157.542171961  1.21923703481         127.028308674      3.37056473908           37.805365389    0.733006085533    
   34       69.9609108487 0.699910303311        124.660907829  1.19685565208         45.5840769781      3.30276078228          12.8565384471    0.799453784206    
   35       45.8041470415 0.765252960671        73.8714836306  1.55848779452          90.935722072      2.37077884887         0.844774692467    0.666634762989    
   36       22.6421839168 0.985419287457        72.6506406698  1.65765616464         86.6150327601      3.12485764639          9.78971438446    0.560398842532    
   37       157.800035476 0.941201997541        226.158853409  1.37722927597         213.365496489        3.168967994          42.7889520306    0.786449002019    
   38         45.14509074 0.554053868639         61.920847156 0.991860246658        -2.65780894024      2.09815587532         -2.20084297319    0.441460556189    
   39       70.3609174911 0.682454885778        94.0352394749  1.19003104557         40.1863986359      2.81137037001          9.66401255251    0.731539970195    
   40       160.732099787  0.83146647693        224.042102244  1.46383688751          181.06161509      3.56207119484          48.6250622796    0.731000777494    
   41       80.3708493642 0.767726763341        176.186486005  1.42474757534         313.964285021      3.78811085001          11.8753797939     0.78516471787    
   42       164.722052501 0.991329424077        338.925320798  1.57856863278         367.664295118      4.08969508885          14.0636145189    0.868876057488    
   43       109.333805681 0.712141008891         269.21915982  1.46526134564         446.669336902        7.104804348          6.71534593672    0.837998698326    
   44       738.585981521  2.26685881093        953.694023635  3.11489779505         1040.49403284      11.4709694702          220.625497227     2.17541760574    
   45       76.1103563645  1.36543430527        97.9882471818   1.8136358155         140.359707333      5.35136427047           25.440400376     1.03083881503    
   46        103.54985098 0.902640158168         353.06668155  2.46209419291         880.260086427      13.1173897258          17.4650345402    0.687144476149    
   47       25.5551993526  1.01280484025        58.4772924372  1.50431373202         66.6203211876      3.76913383711          -2.6940840214    0.797384079897    
   48       65.8361660374 0.777940940359        132.791677234  1.27905327612         151.998644111      2.95351005933          9.09944893136    0.640423259993    
   49       19.5763418848 0.638971190471        51.3438096121  1.06139865742         -26.230468926      2.47821137539          11.5463237082    0.587636604564    
   50       37.6857551227 0.586308399799        87.5099858231  1.07953794334         32.1063134151      2.39206839984          8.87383630626    0.785474020478    
   51        335.69158432  1.67192475229         634.38019177  2.85461834704         681.202689296      9.77776360507          72.2865333171     1.29374020883    
   52       65.3329634163 0.751692803027         90.530361481  1.21736628553         121.640293039      3.08530735182           4.1093363082    0.784454454253    
   53       43.9716702271  0.73773574749        73.1414281525  1.25716198871         37.0440648985      2.71162914684         0.590003355154    0.527602345198    
   54       77.3170981634 0.719483515807        178.787134296   1.2090621424         176.012186312      3.91805768136          21.7264233272    0.622788347756    
   55       42.6239908515 0.742752328861        78.9536926234  1.31389842817           28.97855736      2.70459097883          1.77923365398    0.609975402429    
   56       37.1191645373 0.978062301663        75.5216007004  1.54289521261         86.3821436718      3.86445059886          29.0154509519    0.635546021889    
   57       27.6804113273 0.708991834806        51.9796199883  1.27022045318         63.8514328673       2.2861706755          4.87087932504    0.714253552053    
   58       118.602387683 0.948909313964        239.739491793  1.93345248342         188.562163648      3.41703770242           29.326556945    0.618740991795    
   59       21.7819565461 0.993137770959        43.2841619329  1.40830714951         3.24919032796      3.02889124159          20.6211520339    0.590024577207    
   60        38.493705225 0.723965343217        41.7927734531  1.20097747019         68.0834367881      2.41851572593          8.71111277967      0.6383928172    
   61       30.3711059622 0.721878788169        58.1104072737  1.17370506497           14.74833644      2.02186368806         -6.05257021721    0.733826919997    
   62       66.7850906892 0.633250995252         122.04824414  1.29893998606         201.500535392      3.12535367174         -15.4724257937     1.05059192151    
   63       68.4081514364 0.755328470546        84.4790550925  1.21937022181         57.2908961834      2.30905001071          11.7556768376    0.821692374433    
   64       24.7143154554 0.711352485373         37.844165549  1.20890550669         25.4186079269       3.1794841026          6.59220244841    0.683461894216    
   65       31.1565375234  0.65773651549        39.5995243747  1.31579793207        -8.43057919105      2.86522187874          12.4626840689    0.727122917046    
   66       1114.15472694  3.96318389584        1890.26870029  6.20654936555         2043.74316229       26.183914431          263.599783755     3.42078314823    
   67       202.485902333  1.64321559604        376.508270625  2.83551085418         520.701712276      8.12566779048          58.0163523711     1.08418805275    
